category,text,model,label,confidence
contrast_soft,"Decent product, but could be better.",DistilBERT,POSITIVE,0.9372391104698181
contrast_soft,"Decent product, but could be better.",BERT,LABEL_1,0.7564108371734619
contrast_soft,"Decent product, but could be better.",RoBERTa,positive,0.549521267414093
contrast_soft,"Not terrible, but not impressive.",DistilBERT,NEGATIVE,0.9930324554443359
contrast_soft,"Not terrible, but not impressive.",BERT,LABEL_0,0.9864100813865662
contrast_soft,"Not terrible, but not impressive.",RoBERTa,negative,0.707027018070221
contrast_soft,"Usable, but frustrating.",DistilBERT,NEGATIVE,0.5287662744522095
contrast_soft,"Usable, but frustrating.",BERT,LABEL_0,0.6863808631896973
contrast_soft,"Usable, but frustrating.",RoBERTa,negative,0.8387746810913086
implicit_action,I returned it the same day.,DistilBERT,POSITIVE,0.8234223127365112
implicit_action,I returned it the same day.,BERT,LABEL_1,0.9546638131141663
implicit_action,I returned it the same day.,RoBERTa,neutral,0.8365967869758606
implicit_action,I asked for a refund.,DistilBERT,NEGATIVE,0.9952777624130249
implicit_action,I asked for a refund.,BERT,LABEL_0,0.9900923371315002
implicit_action,I asked for a refund.,RoBERTa,neutral,0.7617690563201904
implicit_action,It’s still in the box.,DistilBERT,POSITIVE,0.9355589747428894
implicit_action,It’s still in the box.,BERT,LABEL_0,0.7010675072669983
implicit_action,It’s still in the box.,RoBERTa,neutral,0.8969935178756714
implicit_action,I replaced it within a week.,DistilBERT,NEGATIVE,0.9954434633255005
implicit_action,I replaced it within a week.,BERT,LABEL_0,0.9543883800506592
implicit_action,I replaced it within a week.,RoBERTa,neutral,0.5839151740074158
implicit_action,I stopped using it.,DistilBERT,NEGATIVE,0.9996435642242432
implicit_action,I stopped using it.,BERT,LABEL_0,0.9924091100692749
implicit_action,I stopped using it.,RoBERTa,negative,0.5235564112663269
implicit_state,It hasn’t been touched since.,DistilBERT,POSITIVE,0.9579615592956543
implicit_state,It hasn’t been touched since.,BERT,LABEL_0,0.9793899655342102
implicit_state,It hasn’t been touched since.,RoBERTa,negative,0.5015906691551208
implicit_state,It’s been sitting unused.,DistilBERT,NEGATIVE,0.9995823502540588
implicit_state,It’s been sitting unused.,BERT,LABEL_0,0.9975983500480652
implicit_state,It’s been sitting unused.,RoBERTa,negative,0.64656001329422
implicit_state,I don’t use it anymore.,DistilBERT,NEGATIVE,0.9986978769302368
implicit_state,I don’t use it anymore.,BERT,LABEL_0,0.9925682544708252
implicit_state,I don’t use it anymore.,RoBERTa,negative,0.5549304485321045
implicit_state,It’s gathering dust.,DistilBERT,NEGATIVE,0.9997487664222717
implicit_state,It’s gathering dust.,BERT,LABEL_0,0.9980472326278687
implicit_state,It’s gathering dust.,RoBERTa,negative,0.6229194402694702
implicit_state,I moved on quickly.,DistilBERT,POSITIVE,0.9983483552932739
implicit_state,I moved on quickly.,BERT,LABEL_1,0.9652480483055115
implicit_state,I moved on quickly.,RoBERTa,neutral,0.5416321158409119
normal,It is wonderful.,DistilBERT,POSITIVE,0.9998748302459717
normal,It is wonderful.,BERT,LABEL_1,0.9997496008872986
normal,It is wonderful.,RoBERTa,positive,0.9668498635292053
normal,I like it.,DistilBERT,POSITIVE,0.9998694658279419
normal,I like it.,BERT,LABEL_1,0.9996744394302368
normal,I like it.,RoBERTa,positive,0.848222553730011
normal,No Problem,DistilBERT,POSITIVE,0.9964500665664673
normal,No Problem,BERT,LABEL_1,0.9980448484420776
normal,No Problem,RoBERTa,neutral,0.49239808320999146
